,Territory,Inventory Name,Total_revenue,ABC_revenue,Product_Margin,ABC_Margin_mode,ABC(Rev-Mar),total_revenue,CoV,std_dev,average_revenue,Territory_XYZ,ABC_XYZ
5915,Makindye,Downy Feel Luxurious Fabric Softener 72X20ML,2057966.26,C,0.03198253600134329,B,CB,2057966.2599999998,2.3056423384015168,431357.6490961658,187087.8418181818,Z,CBZ
5916,Makindye,Nutro Biscuits Strawberry 75g,2040678.08,C,0.0930010087627343,A,CA,2040678.08,1.0810874155219827,200559.21740177835,185516.1890909091,Z,CAZ
5917,Makindye,Bahari  Salt 25kg,2037796.67,C,0.013204196899884155,C,CC,2037796.67,2.165000069821007,401075.4484391832,185254.2427272727,Z,CCZ
5918,Makindye,Fresh Dairy Strawberry Flavoured Milk 250ml,2004406.55,C,-0.07074101834026406,C,CC,2004406.5499999998,1.7912157444676124,326393.1427885462,182218.77727272725,Z,CCZ
5919,Makindye,Ntake Cream Bar Soap 600G,1987288.13,C,0.06957080000000002,B,CB,1987288.13,1.4282373802555965,258029.01750947663,180662.55727272725,Z,CBZ
5920,Makindye,Fresh Dairy Long Life UHT Milk 500ml,1987200.0,C,0.05434782608695652,B,CB,1987200.0,1.0504261333993912,189764.2556628427,180654.54545454544,Z,CBZ
5921,Makindye,ARIEL 1Kg  Colour & Style Sachet,1959915.33,C,-0.001003561350413763,C,CC,1959915.33,0.9095692019487991,162061.69296321066,178174.1209090909,Y,CCY
5922,Makindye,SWT 1 Rice  25kg,1954000.0,C,0.02308233333333337,C,CC,1954000.0,1.113192151496667,197743.40582040793,177636.36363636365,Z,CCZ
5923,Makindye,Sunsip Apple  3L,1869406.69,C,0.03100748248294043,B,CB,1869406.69,2.196830932572795,373342.7674682292,169946.0627272727,Z,CBZ
5924,Makindye,Nataraj Short Color Pencils,1862000.0,C,0.1,A,CA,1862000.0,1.3438079580329028,227470.0379870241,169272.72727272726,Z,CAZ
5925,Makindye,Omo Bleach Regular Disinfectant  250ml,1783728.73,C,0.02000018027777525,C,CC,1783728.73,0.8150411164908774,132164.75051055042,162157.15727272726,Y,CCY
5926,Makindye,White Star Herbal Bar Soap 1Kg x 10 bar,1776271.25,C,0.011904795351474332,C,CC,1776271.25,1.75193271419588,282900.7011055099,161479.20454545456,Z,CCZ
5927,Makindye,Nala Instant Noodles 70g,1751271.05,C,0.017543910495542065,C,CC,1751271.05,1.2723085255778828,202559.73522843007,159206.4590909091,Z,CCZ
5928,Makindye,Ntake White Bar Soap 600G,1745762.72,C,0.03769240000000005,B,CB,1745762.72,1.7681936135010836,280622.4083811164,158705.7018181818,Z,CBZ
5929,Makindye,ARIEL 500gms  Colour & Style Sachet,1722542.31,C,-0.015638934281147553,C,CC,1722542.31,1.5259010810571698,238948.10663597405,156594.75545454546,Z,CCZ
5930,Makindye,Royco Mchuzi Mix Beef Ground Spices 50 G,1699576.74,C,0.07982527019175546,A,CA,1699576.74,1.2710075061160366,196379.52670547485,154506.97636363635,Z,CAZ
5931,Makindye,Nomi Washing Powder 45g,1694915.05,C,0.1499998524999779,A,CA,1694915.0500000003,3.069947869294521,473027.34967115615,154083.1863636364,Z,CAZ
5932,Makindye,Geisha Black Bath Soap 90g,1690677.95,C,0.0344829717569807,B,CB,1690677.95,1.6797638667977848,258176.3391637956,153697.99545454545,Z,CBZ
5933,Makindye,Eclairs Sweets,1648644.28,C,0.033646614979349974,B,CB,1648644.28,1.4346733408521741,215024.18155131154,149876.75272727272,Z,CBZ
5934,Makindye,Picfare   Books 96PGs,1577000.0,C,0.19678795180722894,A,CA,1577000.0,1.991459604747413,285502.8906078791,143363.63636363635,Z,CAZ
5935,Makindye,Cowboy Cooking Fat 500g,1563050.85,C,0.11070331040810705,A,CA,1563050.85,2.3498323329432225,333900.6750331261,142095.53181818183,Z,CAZ
5936,Makindye,Royco Mchuzi Mix Chicken Ground Spices 50g,1548305.56,C,0.06704082011078501,B,CB,1548305.56,1.5127087436975404,212921.39622977423,140755.0509090909,Z,CBZ
5937,Makindye,Oner Grapes and Berries Juice 300ml,1512711.53,C,0.03999965386654676,B,CB,1512711.53,1.575131563440223,216610.87975299562,137519.23,Z,CBZ
5938,Makindye,High 5  Premium Liqueur 200ml,1483050.7999999998,C,0.07999999055999957,A,CA,1483050.7999999998,2.0886085593728936,281592.05407861975,134822.8,Z,CAZ
5939,Makindye,Predator Gold Energy Drink 400ML,1476609.92,C,0.03409061195756017,B,CB,1476609.92,2.6109929186869665,350492.5495257207,134237.26545454544,Z,CBZ
5940,Makindye,BLOWPLAST Bucket 10LTR Malaika School,1464406.78,C,0.10443000632909125,A,CA,1464406.78,2.0941438436373176,278788.9493561589,133127.8890909091,Z,CAZ
5941,Makindye,Minute Maid Berry  400ml,1454660.97,C,0.04000011328000359,B,CB,1454660.97,0.893296419874414,118131.22151200386,132241.90636363637,Y,CBY
5942,Makindye,BLOWPLAST Chair Armrest 101,1454237.3599999999,C,0.05246386652699756,B,CB,1454237.3599999999,1.3852918503153937,183140.2875665612,132203.39636363636,Z,CBZ
5943,Makindye,Kreamy Biscuits Vanilla,1453474.89,C,0.2656791663716667,A,CA,1453474.89,1.7822748299339355,235499.24658072687,132134.0809090909,Z,CAZ
5944,Makindye,Baby Junior Petroleum Jelly 20 g,1436610.28,C,0.06730991789923707,B,CB,1436610.28,1.655801398619409,216249.2100813655,130600.93454545455,Z,CBZ
5945,Makindye,Ntake Cooking Oil 5L Jerrycan,1423389.8,C,0.03150161765952289,B,CB,1423389.8,2.2288785161990146,288414.813217892,129399.07272727274,Z,CBZ
5946,Makindye,BLOWPLAST Chair Armless Stripe,1416949.25,C,0.05977074748163888,B,CB,1416949.25,1.0385905596763259,133784.5558718591,128813.56818181818,Z,CBZ
5947,Makindye,Sunsip Passion  5L,1397033.79,C,0.0512816013148228,B,CB,1397033.79,1.6508772147076176,209666.47746251154,127003.07181818182,Z,CBZ
5948,Makindye,Pure Glucose 100gm,1389830.5899999999,C,0.08244242140013316,A,CA,1389830.59,1.5520953601389569,196104.51001074445,126348.23545454546,Z,CAZ
5949,Makindye,Choco Smooth Sweets Milk Eclai r,1371822.38,C,0.034749393598661686,B,CB,1371822.3800000001,1.2252385720001588,152800.88126445995,124711.12545454547,Z,CBZ
5950,Makindye,Nice Cleanzy-Classic Tooth Brush,1361923.8,C,0.15868502625499797,A,CA,1361923.8,1.9501657677035436,241452.4702709752,123811.25454545455,Z,CAZ
5951,Makindye,Cofilo candy Sweets,1342372.69,C,0.04999955749993356,B,CB,1342372.69,1.5210457753415292,185619.119005304,122033.8809090909,Z,CBZ
5952,Makindye,Predator Gold Energy Drink 350ML,1323220.29,C,0.028571505632645103,C,CC,1323220.29,1.8727080772147722,225273.21136522485,120292.75363636365,Z,CCZ
5953,Makindye,Nataraj Long Color Pencils,1322400.0,C,0.07894736842105263,A,CA,1322400.0,1.0945432098166041,131583.99460558884,120218.18181818182,Z,CAZ
5954,Makindye,Fresh Dairy Vanilla Flavoured Milk 250ml,1317965.91,C,-0.07074101834026406,C,CC,1317965.9099999997,1.3245069299891619,158695.9073894974,119815.0827272727,Z,CCZ
5955,Makindye,Modern Lemon Grass - Kisubi Tea 6g,1261017.0,C,0.06498040867014492,B,CB,1261017.0,1.2816655830077777,146927.46258979262,114637.90909090909,Z,CBZ
5956,Makindye,Mountain Dew Soda 500ML,1258474.25,C,0.04999976399991819,B,CB,1258474.25,2.2004488982361137,251746.2069882745,114406.75,Z,CBZ
5957,Makindye,Pembe Bar Soap 1Kg Blue,1236440.58,C,0.05651116072781127,B,CB,1236440.58,1.760830170628411,197923.80704120835,112403.6890909091,Z,CBZ
5958,Makindye,Royco All In One Spices 200g,1219491.5999999999,C,1.0,A,CA,1219491.6,1.6255542885820924,180213.61820634888,110862.87272727274,Z,CAZ
5959,Makindye,Honey Sweets Eclai r,1207203.71,C,0.034749393598661686,B,CB,1207203.71,1.279843729083689,140457.463451824,109745.79181818181,Z,CBZ
5960,Makindye,Baby Junior  Petroleum Jelly 200 g,1191949.01,C,0.06666660178693383,B,CB,1191949.0099999998,2.0515937368007116,222308.64759107347,108359.00090909089,Z,CBZ
5961,Makindye,Solio Safety Match Boxes,1186440.6,C,0.02857134187754526,C,CC,1186440.6,2.0989282979654167,226386.70447227889,107858.23636363637,Z,CCZ
5962,Makindye,Royco beef Cubes 4g,1182203.46,C,0.02885168344880328,C,CC,1182203.46,2.4789235019247897,266417.4491864366,107473.04181818181,Z,CCZ
5963,Makindye,Rio  Candles 8*30pkts,1181355.84,C,0.04878034039261203,B,CB,1181355.84,1.6588861064542229,178157.70815950527,107395.98545454546,Z,CBZ
5964,Makindye,Ukwaju Tamarind  Fruit Juice,1181355.83,C,0.06249981562497234,B,CB,1181355.83,2.08142284111313,223536.45527674185,107395.98454545456,Z,CBZ
5965,Makindye,Schweppes Bitter Lemon 5OOML,1161101.79,C,0.030201661186398842,B,CB,1161101.79,1.8209459029097126,192209.41339651216,105554.70818181819,Z,CBZ
5966,Makindye,Nataraj Mathematical Set Metallic Tin,1156000.0,C,0.07692307692307693,A,CA,1156000.0,0.9885272703664227,103885.22950396224,105090.90909090909,Y,CAY
5967,Makindye,BLOWPLAST Basin Ndege 45,1152627.22,C,0.1380407638704514,A,CA,1152627.2200000002,1.1536885426580297,120888.43796997967,104784.29272727274,Z,CAZ
5968,Makindye,Nyra Sweets Coffee Krea m,1134915.27,C,0.13194448427854885,A,CA,1134915.27,1.133712776455398,116969.81289030254,103174.11545454546,Z,CAZ
5969,Makindye,Fortune Golden Cooking Oil 3L,1127033.96,C,0.07539674215169018,A,CA,1127033.9600000002,3.0658308483385865,314117.77106301795,102457.63272727275,Z,CAZ
